LOCATION,Date,TIME,FLIGHT,FROM,AIRLINE,AIRCRAFT,STATUS
ATL,"Sunday, December 12, 2021",11:03 AM,DL2867,Atlanta (ATL),Delta Air Lines,B712 (N928AT),Landed 10:49 AM
DFW,"Sunday, December 12, 2021",11:31 AM,AA3181,Dallas (DFW),American Eagle,CRJ7 (N732SK),Landed 11:50 AM
AUS,"Sunday, December 12, 2021",11:31 AM,G4812,Austin (AUS),Allegiant Air,A320 (N257NV),Landed 11:09 AM
LAS,"Sunday, December 12, 2021",11:33 AM,F91958,Las Vegas (LAS),Frontier,A320 (N227FR),Landed 11:16 AM
LGA,"Sunday, December 12, 2021",11:51 AM,DL5133,New York (LGA),Delta Connection,CRJ9 (N925XJ),Landed 11:28 AM
MSP,"Sunday, December 12, 2021",11:55 AM,DL3918,Minneapolis (MSP),Delta Connection,E75S (N603CZ),Landed 12:01 PM
DEN,"Sunday, December 12, 2021",12:53 PM,UA5254,Denver (DEN),United Express,CRJ2 (N440SW),Landed 12:24 PM
CLT,"Sunday, December 12, 2021",1:05 PM,AA5168,Charlotte (CLT),American Eagle,CRJ9 (N558NN),Landed 12:40 PM
DEN,"Sunday, December 12, 2021",1:25 PM,WN1182,Denver (DEN),Southwest Airlines,B737 (N934WN),Landed 1:10 PM
ORD,"Sunday, December 12, 2021",2:10 PM,UA6100,Chicago (ORD),United Express,E75L (N89349),Landed 2:07 PM
PHX,"Sunday, December 12, 2021",2:14 PM,AA1972,Phoenix (PHX),American Airlines,A319 (N837AW),Landed 1:59 PM
PSP,"Sunday, December 12, 2021",2:17 PM,G4847,Palm Springs (PSP),Allegiant Air,A320 (N284NV),Landed 1:49 PM
ORD,"Sunday, December 12, 2021",2:23 PM,AA4032,Chicago (ORD),American Eagle,E145 (N697AB),Landed 2:01 PM
IAH,"Sunday, December 12, 2021",2:33 PM,UA6202,Houston (IAH),United Express,E75L (N85354),Landed 2:10 PM
SCF,"Sunday, December 12, 2021",3:20 PM,,Scottsdale (SCF),Frontier,EA50 (N247SS),Unknown
ATL,"Sunday, December 12, 2021",3:59 PM,DL1298,Atlanta (ATL),Delta Air Lines,B712 (N955AT),Landed 3:36 PM
SDF,"Sunday, December 12, 2021",4:09 PM,5X514,Louisville (SDF),UPS,B763 (N365UP),Landed 4:11 PM
DEN,"Sunday, December 12, 2021",4:14 PM,UA593,Denver (DEN),United Airlines,A320 (N445UA),Landed 5:38 PM
BNA,"Sunday, December 12, 2021",4:15 PM,G4814,Nashville (BNA),Allegiant Air,A320 (N257NV),Landed 4:02 PM
CWA,"Sunday, December 12, 2021",4:25 PM,,Wausau (CWA),Frontier,S22T (N72AD),Landed 4:38 PM
LAS,"Sunday, December 12, 2021",4:30 PM,WN4936,Las Vegas (LAS),Southwest Airlines,B738 (N8628A),Landed 4:30 PM
ALO,"Sunday, December 12, 2021",4:35 PM,,Waterloo (ALO),Frontier,BE9L (N67CQ),Landed 3:16 PM
ORD,"Sunday, December 12, 2021",4:39 PM,AA3204,Chicago (ORD),American Eagle,CRJ7 (N730SK),Landed 4:19 PM
DFW,"Sunday, December 12, 2021",4:42 PM,AA560,Dallas (DFW),American Airlines,A319 (N812AW),Landed 4:29 PM
MSP,"Sunday, December 12, 2021",4:44 PM,DL5504,Minneapolis (MSP),Delta Connection,CRJ9 (N928XJ),Landed 4:25 PM
DTW,"Sunday, December 12, 2021",4:47 PM,DL4760,Detroit (DTW),Delta Connection,CRJ9 (N921XJ),Landed 4:35 PM
SLC,"Sunday, December 12, 2021",5:14 PM,DL3775,Salt Lake City (SLC),Delta Connection,E75S (N614CZ),Landed 5:00 PM
PGD,"Sunday, December 12, 2021",5:22 PM,G41707,Punta Gorda (PGD),Allegiant Air,A320 (N233NV),Landed 5:31 PM
DCA,"Sunday, December 12, 2021",5:28 PM,AA5278,Washington (DCA),American Eagle,CRJ9 (N596NN),Landed 6:08 PM
EGE,"Sunday, December 12, 2021",5:36 PM,1I607,Eagle (EGE),NetJets,C68A (N607QS),Diverted to TEX
MEM,"Sunday, December 12, 2021",6:11 PM,FX718,Memphis (MEM),FedEx,A306 (N670FE),Landed 6:39 PM
MDD,"Sunday, December 12, 2021",6:18 PM,1I772,Midland (MDD),NetJets,CL35 (N772QS),Unknown
DEN,"Sunday, December 12, 2021",6:33 PM,F9470,Denver (DEN),Frontier,A20N (N331FR),Landed 7:07 PM
DFW,"Sunday, December 12, 2021",6:51 PM,AA3031,Dallas (DFW),American Eagle,CRJ7 (N727SK),Landed 6:30 PM
ATL,"Sunday, December 12, 2021",7:18 PM,DL5334,Atlanta (ATL),Delta Connection,CRJ9 (N337PQ),Landed 7:07 PM
FAR,"Sunday, December 12, 2021",7:58 PM,,Fargo (FAR),Frontier,TBM9 (N399LJ),Landed 8:07 PM
DEN,"Sunday, December 12, 2021",8:07 PM,UA465,Denver (DEN),United Airlines,A320 (N456UA),Landed 7:52 PM
LGA,"Sunday, December 12, 2021",8:14 PM,DL5265,New York (LGA),Delta Connection,CRJ9 (N292PQ),Landed 7:55 PM
LAS,"Sunday, December 12, 2021",8:39 PM,G4807,Las Vegas (LAS),Allegiant Air,A320 (N284NV),Landed 10:05 PM
MSP,"Sunday, December 12, 2021",8:59 PM,DL5230,Minneapolis (MSP),Delta Connection,CRJ7 (N371CA),Landed 8:49 PM
ORD,"Sunday, December 12, 2021",9:18 PM,UA1960,Chicago (ORD),United Airlines,B739 (N69833),Landed 9:00 PM
SRQ,"Sunday, December 12, 2021",9:35 PM,G4864,Sarasota (SRQ),Allegiant Air,320,Canceled
DTW,"Sunday, December 12, 2021",9:49 PM,DL4883,Detroit (DTW),Delta Connection,CRJ7 (N655CA),Landed 9:31 PM
DCA,"Sunday, December 12, 2021",9:51 PM,AA4770,Washington (DCA),American Eagle,E75L (N449YX),Landed 9:28 PM
ORD,"Sunday, December 12, 2021",10:08 PM,AA3064,Chicago (ORD),SkyWest Airlines,CRJ7 (N752SK),Landed 9:52 PM
IAH,"Sunday, December 12, 2021",10:22 PM,UA6015,Houston (IAH),United Express,E75L (N85379),Landed 10:01 PM
ATL,"Sunday, December 12, 2021",10:34 PM,DL1699,Atlanta (ATL),Delta Air Lines,B712 (N936AT),Landed 10:23 PM
STL,"Sunday, December 12, 2021",10:35 PM,WN4937,St. Louis (STL),Southwest Airlines,B738 (N8313F),Landed 10:31 PM
MIA,"Sunday, December 12, 2021",10:46 PM,AA3558,Miami (MIA),American Eagle,E75L (N238NN),Landed 10:28 PM
DFW,"Sunday, December 12, 2021",11:05 PM,AA1371,Dallas (DFW),American Airlines,A319 (N9002U),Landed 10:44 PM
CLT,"Sunday, December 12, 2021",11:31 PM,1I800,Charlotte (CLT),NetJets,C700,Unknown
SFB,"Sunday, December 12, 2021",11:32 PM,G4838,Orlando (SFB),Allegiant Air,A320 (N257NV),Landed 11:16 PM
PHX,"Sunday, December 12, 2021",11:52 PM,AA568,Phoenix (PHX),American Airlines,A320 (N112US),Landed 11:27 PM
CLT,"Sunday, December 12, 2021",11:57 PM,AA825,Charlotte (CLT),American Airlines,A319 (N835AW),Landed 11:38 PM
AFW,"Monday, December 13, 2021",2:28 AM,3M3901,Fort Worth (AFW),Amazon Air,AT75 (N967AZ),Landed 2:18 AM
CVG,"Monday, December 13, 2021",6:00 AM,G49200,Cincinnati (CVG),Allegiant Air,A319 (N307NV),Landed 7:22 AM
STP,"Monday, December 13, 2021",8:30 AM,1I523,St. Paul (STP),NetJets,C68A (N523QS),Landed 8:22 AM
ORD,"Monday, December 13, 2021",9:37 AM,AA3513,Chicago (ORD),American Eagle,E145 (N663AR),Landed 9:16 AM
DTW,"Monday, December 13, 2021",9:37 AM,DL5188,Detroit (DTW),Delta Connection,CRJ9 (N695CA),Landed 9:25 AM
MIQ,"Monday, December 13, 2021",10:21 AM,,Omaha (MIQ),Frontier,BE33 (N2015T),Landed 10:20 AM
MCO,"Monday, December 13, 2021",10:27 AM,F91067,Orlando (MCO),Frontier,A321 (N712FR),Landed 10:05 AM
ORD,"Monday, December 13, 2021",10:45 AM,UA3999,Chicago (ORD),United Express,CRJ2 (N465AW),Landed 10:22 AM
ATL,"Monday, December 13, 2021",11:03 AM,DL2867,Atlanta (ATL),Delta Air Lines,B712 (N608AT),Landed 10:40 AM
RST,"Monday, December 13, 2021",11:17 AM,,Rochester (RST),Frontier,B06 (N58AG),Landed 11:15 AM
HEZ,"Monday, December 13, 2021",11:30 AM,,Natchez (HEZ),Frontier,PA46 (N36RE),Landed 11:53 AM
DFW,"Monday, December 13, 2021",11:31 AM,AA3181,Dallas (DFW),American Eagle,CRJ7 (N745SK),Landed 11:14 AM
MSP,"Monday, December 13, 2021",11:55 AM,DL3918,Minneapolis (MSP),Delta Connection,E75L (N256SY),Landed 11:42 AM
LGA,"Monday, December 13, 2021",12:38 PM,DL5133,New York (LGA),Delta Connection,CRJ9 (N930XJ),Landed 12:13 PM
FSD,"Monday, December 13, 2021",12:47 PM,,Sioux Falls (FSD),Frontier,BE9L (N773SD),Landed 12:26 PM
DEN,"Monday, December 13, 2021",12:53 PM,UA5254,Denver (DEN),United Express,CRJ2 (N955SW),Landed 12:25 PM
CLT,"Monday, December 13, 2021",1:05 PM,AA5168,Charlotte (CLT),American Eagle,CRJ9 (N603NN),Landed 12:44 PM
FMS,"Monday, December 13, 2021",1:28 PM,,Fort Madison (FMS),Frontier,BE20 (N208BC),Landed 1:29 PM
MGW,"Monday, December 13, 2021",1:54 PM,1I814,Morgantown (MGW),NetJets,C700 (N814QS),Landed 2:08 PM
DSM,"Monday, December 13, 2021",2:03 PM,,Des Moines (DSM),Frontier,M600 (N426TT),Landed 1:14 PM
DEN,"Monday, December 13, 2021",2:05 PM,WN4529,Denver (DEN),Southwest Airlines,B737 (N264LV),Landed 1:53 PM
ORD,"Monday, December 13, 2021",2:10 PM,UA6100,Chicago (ORD),United Express,E75L (N89357),Landed 2:04 PM
LAX,"Monday, December 13, 2021",2:12 PM,G4832,Los Angeles (LAX),Allegiant Air,A319 (N307NV),Landed 3:28 PM
PHX,"Monday, December 13, 2021",2:14 PM,AA1972,Phoenix (PHX),American Airlines,A319 (N825AW),Landed 2:38 PM
LAS,"Monday, December 13, 2021",2:15 PM,G4843,Las Vegas (LAS),Allegiant Air,A320 (N257NV),Landed 1:56 PM
YIP,"Monday, December 13, 2021",2:21 PM,UJ811,Detroit (YIP),USA Jet Airlines,FA20 (N811AA),Landed 2:18 PM
ORD,"Monday, December 13, 2021",2:23 PM,AA4032,Chicago (ORD),American Eagle,E145 (N605KS),Landed 2:00 PM
TTN,"Monday, December 13, 2021",2:24 PM,1I561,Trenton (TTN),NetJets,C68A,Unknown
IAH,"Monday, December 13, 2021",2:33 PM,UA6202,Houston (IAH),United Express,E75L (N86344),Landed 2:06 PM
PIE,"Monday, December 13, 2021",3:06 PM,G4868,St. Petersburg (PIE),Allegiant Air,A320 (N237NV),Landed 3:13 PM
LAS,"Monday, December 13, 2021",3:15 PM,WN320,Las Vegas (LAS),Southwest Airlines,B737 (N284WN),Landed 2:54 PM
MKL,"Monday, December 13, 2021",3:16 PM,GAJ886,Jackson (MKL),Wheels Up,B350 (N886UP),Landed 3:09 PM
ATL,"Monday, December 13, 2021",3:59 PM,DL1298,Atlanta (ATL),Delta Air Lines,B712 (N991AT),Landed 3:36 PM
DEN,"Monday, December 13, 2021",4:15 PM,UA593,Denver (DEN),United Airlines,A319 (N808UA),Landed 3:56 PM
COU,"Monday, December 13, 2021",4:18 PM,1I778,Columbia (COU),NetJets,CL30,Unknown
QQA,"Monday, December 13, 2021",4:38 PM,,Minneapolis (QQA),Frontier,M20T (N2177J),Canceled
ORD,"Monday, December 13, 2021",4:39 PM,AA3204,Chicago (ORD),American Eagle,CRJ7 (N755SK),Landed 4:28 PM
DFW,"Monday, December 13, 2021",4:42 PM,AA560,Dallas (DFW),American Airlines,A319 (N749US),Landed 5:08 PM
DTW,"Monday, December 13, 2021",4:47 PM,DL4760,Detroit (DTW),Delta Connection,CRJ9 (N349PQ),Landed 4:30 PM
SLC,"Monday, December 13, 2021",5:14 PM,DL3775,Salt Lake City (SLC),Delta Connection,E75L (N250SY),Landed 5:44 PM
DCA,"Monday, December 13, 2021",5:28 PM,AA5278,Washington (DCA),American Eagle,CRJ9 (N593NN),Landed 5:36 PM
FSD,"Monday, December 13, 2021",7:34 PM,5X9872,Sioux Falls (FSD),UPS,B763 (N306UP),Landed 7:08 PM
DEN,"Monday, December 13, 2021",8:07 PM,UA465,Denver (DEN),United Airlines,A320 (N456UA),Landed 7:50 PM
LGA,"Monday, December 13, 2021",8:40 PM,DL5265,New York (LGA),Delta Connection,CRJ9 (N930XJ),Landed 8:23 PM
MSP,"Monday, December 13, 2021",8:59 PM,DL5230,Minneapolis (MSP),Delta Connection,CRJ7 (N371CA),Landed 8:42 PM
ORD,"Monday, December 13, 2021",9:18 PM,UA1960,Chicago (ORD),United Airlines,B739 (N36476),Landed 9:15 PM
AZA,"Monday, December 13, 2021",9:32 PM,G4808,Phoenix (AZA),Allegiant Air,A320 (N257NV),Landed 9:14 PM
DTW,"Monday, December 13, 2021",9:49 PM,DL4883,Detroit (DTW),Delta Connection,CRJ7 (N376CA),Landed 9:20 PM
DCA,"Monday, December 13, 2021",9:51 PM,AA4770,Washington (DCA),American Eagle,E75L (N435YX),Landed 9:22 PM
STL,"Monday, December 13, 2021",10:05 PM,WN3250,St. Louis (STL),Southwest Airlines,B738 (N8583Z),Landed 9:39 PM
ORD,"Monday, December 13, 2021",10:08 PM,AA3064,Chicago (ORD),American Eagle,CRJ7 (N774SK),Landed 9:49 PM
CLT,"Monday, December 13, 2021",10:11 PM,AA825,Charlotte (CLT),American Airlines,A319 (N750UW),Landed 9:57 PM
IAH,"Monday, December 13, 2021",10:22 PM,UA6015,Houston (IAH),United Express,E75L (N86336),Landed 10:14 PM
ATL,"Monday, December 13, 2021",10:34 PM,DL1699,Atlanta (ATL),Delta Air Lines,B712 (N948AT),Landed 10:15 PM
MIA,"Monday, December 13, 2021",10:46 PM,AA3558,Miami (MIA),American Eagle,E75L (N230NN),Landed 10:17 PM
FLL,"Monday, December 13, 2021",11:00 PM,G4813,Fort Lauderdale (FLL),Allegiant Air,A320 (N237NV),Landed 10:48 PM
DFW,"Monday, December 13, 2021",11:05 PM,AA1371,Dallas (DFW),American Airlines,A319 (N831AW),Landed 10:44 PM
PHX,"Monday, December 13, 2021",11:52 PM,AA568,Phoenix (PHX),American Airlines,A320 (N104UW),Landed 11:38 PM
CAK,"Tuesday, December 14, 2021",1:37 AM,BYA561,Akron (CAK),Berry Aviation,E120 (N561SW),Landed 1:39 AM
AFW,"Tuesday, December 14, 2021",2:16 AM,3M3901,Fort Worth (AFW),Amazon Air,AT75 (N967AZ),Landed 2:05 AM
CID,"Tuesday, December 14, 2021",6:01 AM,5X514,Cedar Rapids (CID),UPS,B763 (N345UP),Landed 6:43 AM
MEM,"Tuesday, December 14, 2021",6:34 AM,FX1500,Memphis (MEM),FedEx,A306 (N657FE),Landed 6:56 AM
GRR,"Tuesday, December 14, 2021",6:55 AM,FX1702,Grand Rapids (GRR),FedEx,B752 (N989FD),Unknown
FMS,"Tuesday, December 14, 2021",8:13 AM,,Fort Madison (FMS),Frontier,BE20 (N208BC),Landed 8:38 AM
STP,"Tuesday, December 14, 2021",8:37 AM,,St. Paul (STP),Frontier,PC12 (N98GX),Landed 8:44 AM
ORD,"Tuesday, December 14, 2021",9:37 AM,AA3513,Chicago (ORD),American Eagle,E145 (N675AE),Landed 10:05 AM
DTW,"Tuesday, December 14, 2021",9:37 AM,DL5188,Detroit (DTW),Delta Connection,CRJ9 (N349PQ),Landed 9:12 AM
CVG,"Tuesday, December 14, 2021",10:00 AM,G44760,Cincinnati (CVG),Allegiant Air,A319 (N313NV),Landed 9:45 AM
ORD,"Tuesday, December 14, 2021",10:45 AM,UA3999,Chicago (ORD),United Express,CRJ2 (N434AW),Landed 10:18 AM
ATL,"Tuesday, December 14, 2021",11:03 AM,DL2867,Atlanta (ATL),Delta Air Lines,B712 (N955AT),Landed 10:38 AM
APF,"Tuesday, December 14, 2021",11:12 AM,1I589,Naples (APF),NetJets,C56X,Unknown
DFW,"Tuesday, December 14, 2021",11:31 AM,AA3181,Dallas (DFW),Delta Connection,CRJ7 (N614SK),Landed 11:01 AM
MSP,"Tuesday, December 14, 2021",11:55 AM,DL3918,Minneapolis (MSP),Delta Connection,E75L (N242SY),Landed 11:35 AM
YTR,"Tuesday, December 14, 2021",12:21 PM,,Trenton (YTR),Frontier,B350 (C-GEAS),Landed 12:14 PM
LGA,"Tuesday, December 14, 2021",12:38 PM,DL5133,New York (LGA),Delta Connection,CRJ9 (N925XJ),Landed 12:05 PM
DEN,"Tuesday, December 14, 2021",12:53 PM,UA5254,Denver (DEN),United Express,CRJ2 (N693BR),Landed 12:35 PM
CLT,"Tuesday, December 14, 2021",1:05 PM,AA5168,Charlotte (CLT),American Eagle,CRJ9 (N559NN),Landed 12:40 PM
YIP,"Tuesday, December 14, 2021",1:06 PM,UJ822,Detroit (YIP),USA Jet Airlines,FA20 (N822AA),Landed 12:56 PM
DEN,"Tuesday, December 14, 2021",1:57 PM,F9470,Denver (DEN),Frontier,A20N (N324FR),Landed 1:32 PM
DEN,"Tuesday, December 14, 2021",2:05 PM,WN4529,Denver (DEN),Southwest Airlines,B737 (N295WN),Landed 1:54 PM
ORD,"Tuesday, December 14, 2021",2:10 PM,UA6100,Chicago (ORD),United Express,E75L (N87318),Landed 1:57 PM
PHX,"Tuesday, December 14, 2021",2:14 PM,AA1972,Phoenix (PHX),American Airlines,A319 (N757UW),Landed 2:03 PM
ORD,"Tuesday, December 14, 2021",2:23 PM,AA4032,Chicago (ORD),American Eagle,E145 (N698CB),Landed 2:08 PM
IAH,"Tuesday, December 14, 2021",2:33 PM,UA6202,Houston (IAH),United Express,E75L (N88310),Landed 2:13 PM
TEB,"Tuesday, December 14, 2021",2:48 PM,1I398,Teterboro (TEB),NetJets,E55P,Unknown
LAS,"Tuesday, December 14, 2021",3:15 PM,WN320,Las Vegas (LAS),Southwest Airlines,B737 (N400WN),Landed 2:44 PM
MSP,"Tuesday, December 14, 2021",3:31 PM,1I540,Minneapolis (MSP),NetJets,C68A (N540QS),Landed 3:30 PM
ATL,"Tuesday, December 14, 2021",3:59 PM,DL1298,Atlanta (ATL),Delta Air Lines,B712 (N921AT),Landed 3:38 PM
FSD,"Tuesday, December 14, 2021",4:03 PM,,Sioux Falls (FSD),Frontier,BE20 (N754CA),Landed 5:12 PM
OJC,"Tuesday, December 14, 2021",4:08 PM,,Kansas City (OJC),Frontier,PC12 (N34MJ),Landed 4:15 PM
DEN,"Tuesday, December 14, 2021",4:15 PM,UA593,Denver (DEN),United Airlines,A319 (N818UA),Landed 3:54 PM
DFW,"Tuesday, December 14, 2021",4:42 PM,AA560,Dallas (DFW),American Airlines,A319 (N829AW),Landed 5:07 PM
DTW,"Tuesday, December 14, 2021",4:47 PM,DL4760,Detroit (DTW),Delta Connection,CRJ9 (N691CA),Unknown
SPW,"Tuesday, December 14, 2021",5:13 PM,,Spencer (SPW),Frontier,PAY2 (N302TA),Landed 6:03 PM
DLH,"Tuesday, December 14, 2021",5:27 PM,,Duluth (DLH),Frontier,SF50 (N800BB),Landed 5:58 PM
DCA,"Tuesday, December 14, 2021",5:28 PM,AA5278,Washington (DCA),American Eagle,CRJ9 (N563NN),Landed 5:51 PM
SDF,"Tuesday, December 14, 2021",7:04 PM,5X9654,Louisville (SDF),UPS,B763 (N314UP),Unknown
MEM,"Tuesday, December 14, 2021",7:22 PM,FX718,Memphis (MEM),FedEx,A306 (N725FD),Landed 7:05 PM
DEN,"Tuesday, December 14, 2021",8:07 PM,UA465,Denver (DEN),United Airlines,A320 (N404UA),Landed 7:57 PM
LGA,"Tuesday, December 14, 2021",8:40 PM,DL5265,New York (LGA),Delta Connection,CRJ9 (N925XJ),Landed 8:04 PM
MSP,"Tuesday, December 14, 2021",8:59 PM,DL5230,Minneapolis (MSP),Delta Connection,CRJ7 (N655CA),Landed 8:34 PM
ORD,"Tuesday, December 14, 2021",9:18 PM,UA1960,Chicago (ORD),United Airlines,B739 (N66837),Landed 8:55 PM
DTW,"Tuesday, December 14, 2021",9:49 PM,DL4883,Detroit (DTW),Delta Connection,CRJ7 (N391CA),Landed 9:21 PM
DCA,"Tuesday, December 14, 2021",9:51 PM,AA4770,Washington (DCA),American Eagle,E75L (N449YX),Landed 9:40 PM
STL,"Tuesday, December 14, 2021",10:05 PM,WN3250,St. Louis (STL),Southwest Airlines,B738 (N8509U),Landed 9:49 PM
IOW,"Tuesday, December 14, 2021",10:07 PM,,Iowa City (IOW),Frontier,PC12 (N34MJ),Landed 10:04 PM
CLT,"Tuesday, December 14, 2021",10:11 PM,AA825,Charlotte (CLT),American Airlines,A319 (N774XF),Landed 9:41 PM
IAH,"Tuesday, December 14, 2021",10:22 PM,UA6015,Houston (IAH),United Express,E75L (N85374),Landed 10:14 PM
ATL,"Tuesday, December 14, 2021",10:34 PM,DL1699,Atlanta (ATL),Delta Air Lines,B712 (N926AT),Landed 10:08 PM
MIA,"Tuesday, December 14, 2021",10:46 PM,AA3558,Miami (MIA),American Eagle,E75L (N239NN),Landed 10:36 PM
DFW,"Tuesday, December 14, 2021",11:05 PM,AA1371,Dallas (DFW),American Airlines,A319 (N748UW),Landed 10:42 PM
PHX,"Tuesday, December 14, 2021",11:52 PM,AA568,Phoenix (PHX),American Airlines,A320 (N665AW),Landed 11:19 PM
AFW,"Wednesday, December 15, 2021",3:07 AM,3M3901,Fort Worth (AFW),Amazon Air,AT75 (N919AZ),Landed 2:57 AM
OMA,"Wednesday, December 15, 2021",5:42 AM,1I782,Omaha (OMA),NetJets,CL30,Unknown
CID,"Wednesday, December 15, 2021",6:01 AM,5X514,Cedar Rapids (CID),UPS,B763 (N365UP),Landed 6:39 AM
MEM,"Wednesday, December 15, 2021",6:21 AM,FX1500,Memphis (MEM),FedEx,A306 (N653FE),Landed 6:41 AM
GRR,"Wednesday, December 15, 2021",7:00 AM,FX1702,Grand Rapids (GRR),FedEx,75V,Unknown
OLV,"Wednesday, December 15, 2021",8:54 AM,,Olive Branch (OLV),Frontier,BE60 (N1LT),Landed 9:03 AM
ORD,"Wednesday, December 15, 2021",9:37 AM,AA3513,Chicago (ORD),American Eagle,E145 (N685AE),Landed 9:20 AM
DTW,"Wednesday, December 15, 2021",9:37 AM,DL5188,Detroit (DTW),Delta Connection,CRJ9 (N313PQ),Landed 9:16 AM
HKS,"Wednesday, December 15, 2021",9:46 AM,,Jackson (HKS),Frontier,PA46 (N36RE),Landed 10:11 AM
OMA,"Wednesday, December 15, 2021",10:42 AM,1I701,Omaha (OMA),NetJets,CL35 (N701QS),Unknown
ORD,"Wednesday, December 15, 2021",10:45 AM,UA3999,Chicago (ORD),United Express,CRJ2 (N448AW),Landed 10:26 AM
ATL,"Wednesday, December 15, 2021",11:03 AM,DL2867,Atlanta (ATL),Delta Air Lines,B712 (N964AT),Landed 10:43 AM
DFW,"Wednesday, December 15, 2021",11:31 AM,AA3181,Dallas (DFW),American Eagle,CRJ7 (N748EV),Landed 11:03 AM
MSP,"Wednesday, December 15, 2021",11:55 AM,DL3918,Minneapolis (MSP),Delta Connection,E75L (N307SY),Landed 11:45 AM
LGA,"Wednesday, December 15, 2021",12:38 PM,DL5133,New York (LGA),Delta Connection,CRJ9 (N490PX),Landed 12:07 PM
DEN,"Wednesday, December 15, 2021",12:53 PM,UA5254,Denver (DEN),United Express,CRJ2 (N916EV),Canceled
MTJ,"Wednesday, December 15, 2021",1:04 PM,,Montrose (MTJ),Frontier,B350 (N8885Z),Landed 1:14 PM
CLT,"Wednesday, December 15, 2021",1:05 PM,AA5168,Charlotte (CLT),American Eagle,CRJ9 (N553NN),Landed 12:24 PM
GEG,"Wednesday, December 15, 2021",1:18 PM,WN8511,Spokane (GEG),Southwest Airlines,B737 (N438WN),Landed 1:26 PM
BWD,"Wednesday, December 15, 2021",1:48 PM,1I787,Brownwood (BWD),NetJets,CL30,Unknown
YIP,"Wednesday, December 15, 2021",1:58 PM,UJ827,Detroit (YIP),USA Jet Airlines,FA20 (N827AA),Landed 1:58 PM
DFW,"Wednesday, December 15, 2021",2:00 PM,1I657,Dallas (DFW),NetJets,C56X,Unknown
DEN,"Wednesday, December 15, 2021",2:05 PM,WN4529,Denver (DEN),Southwest Airlines,B737 (N292WN),Canceled
ORD,"Wednesday, December 15, 2021",2:10 PM,UA6100,Chicago (ORD),United Express,E75L (N86316),Landed 1:54 PM
PHX,"Wednesday, December 15, 2021",2:14 PM,AA1972,Phoenix (PHX),American Airlines,A319 (N744P),Landed 1:56 PM
ORD,"Wednesday, December 15, 2021",2:23 PM,AA4032,Chicago (ORD),American Eagle,E145 (N622AE),Landed 2:00 PM
